title,description,url,publishedAt,sentiment,score,processed_text
Sam Altman says ChatGPT will soon sext with verified adults,"OpenAI will soon allow “erotica” for ChatGPT users who verify their age on the platform. In an X post on Tuesday, OpenAI CEO Sam Altman said the company will add support for mature conversations when it launches age-gating in December. “As we roll out age-gat…",https://www.theverge.com/news/799312/openai-chatgpt-erotica-sam-altman-verified-adults,2025-10-14T17:45:34Z,Positive,0.7506,sam altman say chatgpt soon sext verified adult openai soon allow erotica chatgpt user verify age platform x post tuesday openai ceo sam altman said company add support mature conversation launch age gating december roll age gat ul li li li li li li ul openai bring erotica chatgpt roll age verification december openai bring erotica chatgpt roll age verification 2931 char
"GM says hands-free, eyes-off driving is coming to Escalade IQ in 2028","General Motors may be shrinking its electric vehicle production, but the automaker wants investors to know its still committed to future technologies like automated driving, software-defined vehicles, and AI voice assistants. Today, GM CEO Mary Barra announce…",https://www.theverge.com/news/802452/gm-forward-ai-robot-level-3-autonomous,2025-10-21T20:15:32Z,Positive,0.886,gm say hand free eye driving coming escalade iq 2028 general motor may shrinking electric vehicle production automaker want investor know still committed future technology like automated driving software defined vehicle ai voice assistant today gm ceo mary barra announce ul li li li li li li ul ev business contract gm doubling ai software robotics ev business contract gm doubling ai software robotics 9235 char
Four Strategic Signals Technology Leaders Are Tuning In To - SPONSOR CONTENT FROM ARM,Sponsor content from ARM.,https://hbr.org/sponsored/2025/09/four-strategic-signals-technology-leaders-are-tuning-in-to,2025-09-29T19:50:45Z,Positive,0.4939,four strategic signal technology leader tuning sponsor content arm sponsor content arm skip content sponsor content arm gt sponsor content arm gt generative ai automation geopolitical shift reshape business landscape leadership undergo 7273 char
This could be 'the best growing technology company': Here's why,"The artificial intelligence (AI) trade is top of mind for investors as US stocks (^DJI, ^GSPC, ^IXIC) trade at record highs. Niles Investment Management...",https://finance.yahoo.com/video/could-best-growing-technology-company-210000694.html,2025-10-02T21:00:00Z,Positive,0.8979,could best growing technology company artificial intelligence ai trade top mind investor u stock dji gspc ixic trade record high nile investment management want get name often talk program uh impinge playing slightly different space within ai trade think going talk 1765 char
The new AI arms race changing the war in Ukraine,"Both Ukraine and Russia use AI in battle, but removing human decision-making comes with risks.",https://www.bbc.com/news/articles/cly7jrez2jno,2025-10-10T00:26:16Z,Negative,-0.9022,new ai arm race changing war ukraine ukraine russia use ai battle removing human decision making come risk abdujalil abdurasulovin kyiv russian ai drone present new challenge ukraine say serhiy beskrestnov technology future threat warns serhiy beskrestnov jus 4612 char
"AI Won’t Replace Jobs, but Tech Bros Want You to Be Afraid It Will","He also thinks the AI bubble burst is going to make 2008 feel like ""a golden age.""",https://gizmodo.com/ai-wont-replace-jobs-tech-bros-want-you-terrified-2000670808,2025-10-15T14:20:54Z,Positive,0.4215,ai replace job tech bros want afraid also think ai bubble burst going make 2008 feel like golden age ai overrated according author cory doctorow think ai job doctorow said despite boss across industry insatiably horny idea ai r 7077 char
"Tech left teens fighting over scraps, and now it wants those too","Right now, there are robots stocking convenience store shelves in Japan. We haven't embraced that tech here in America yet, but it's hard to imagine 7-11 or Walmart won't at least experiment with it soon. Walmart gave up on its shelf-scanning robots in 2020, …",https://www.theverge.com/report/806728/tech-left-teens-fighting-over-scraps-robots-taking-jobs,2025-10-25T17:43:48Z,Negative,-0.3818,tech left teen fighting scrap want right robot stocking convenience store shelf japan embraced tech america yet hard imagine 7 11 walmart least experiment soon walmart gave shelf scanning robot 2020 ul li li li li li li ul theyve pushed workforce training robot job teen left theyve pushed workforce training 5471 char
Meta told some employees their jobs are being replaced by tech — read the memo,"An internal memo explaining the cuts said ""many routine decisions can now be handled efficiently by technology.""",https://www.businessinsider.com/meta-job-cuts-risk-org-replaced-by-tech-layoffs-2025-10,2025-10-23T15:43:52Z,Negative,-0.4767,meta told employee job replaced tech read memo internal memo explaining cut said many routine decision handled efficiently technology meta made another round job cut carlos barria reuters ul li meta cutting role risk org according internal memo li li company cited shift manual review 5794 char
Amazon claims the headline isn’t robots taking jobs as it reveals new cost-cutting robots,"A New York Times report on Tuesday cited internal Amazon documents touting how its shift into automation could help it sell more products without hiring more people, but today the company has issued a PR blast about robotics and delivery tech that is much sun…",https://www.theverge.com/news/805098/amazon-robots-ai-warehouses,2025-10-23T00:51:34Z,Positive,0.9217,amazon claim headline robot taking job reveals new cost cutting robot new york time report tuesday cited internal amazon document touting shift automation could help sell product without hiring people today company issued pr blast robotics delivery tech much sun ul li li li li li li ul blue jay robot extra set hand probably mean amazon warehouse require fewer human hand blue jay robot extra set hand probably mean 4068 char
Meta Ray-Ban Display Glasses Review: Halfway to the Future,"Meta's next-level smart glasses include some incredible new technology, but there are still lots of missing pieces.",https://www.cnet.com/tech/computing/meta-ray-ban-display-glasses-review-my-life-as-a-cyborg/,2025-10-16T12:00:06Z,Negative,-0.7717,meta ray ban display glass review halfway future meta next level smart glass include incredible new technology still lot missing piece see someone nearby wearing thick ray ban glass maybe staring space bit making small gesture finger could witness next big piece wearable tech 15390 char
